Hotel,Review,Rating,Rating Category
Ritz Carlton,The views from the room.,10.0,Positive
Ritz Carlton,Rooms and windows,10.0,Positive
Ritz Carlton,"Location, service, spacious rooms",9.0,Positive
Ritz Carlton,"Dickson at front desk was helpful
Waitress at the buffet breakfast has served my wife beyond her expectation 
We feel like home",9.0,Positive
Ritz Carlton,"Very clean, comfortable. view is good. staffs are friendly and helpful.",10.0,Positive
Ritz Carlton,"Everything was perfect!
The best aspect of this hotel is the quanlity of the hotel staff. They were very welcoming and took care of every need starting with early check-in. They were super kind, polite, and knew their jobs.
The hotel location is perfect. Many must-see tourist attractions are at walking distance. Taxi cab guys are easily available (both normal cabs and the ones on Grab). MBS is just across the helix bridge. Airport was a 15 min drive.
Breakfast at the hotel is very good with a variety of items from different cuisines (Indian, Chinese, Singaporean, Western etc.). Food is good for vegetarians. In-room dining also has decent options for vegetarians. They'll also fix something not on the menu to suit your dietary requirements.
The art inside the hotel is also a must-see. We had a good time going around checking various paintings and sculptures.
Ritz-Kids is a great idea. My daughter loved it.
This hotel is the kind that makes your holiday. I will highly recommend staying at this property.",10.0,Positive
Ritz Carlton,Love everything about from the location to the luxurious accommodation!,10.0,Positive
Ritz Carlton,"Location of the hotel is really great, amazing view from the hotel room, very cool spa zone and swimming pool, the choice of breakfast amazing, cool and cozy bar.",10.0,Positive
Ritz Carlton,I like the services provided. Very welcoming and they take initiative to guide me tonwhere i want to go. Staff are polite and friendly.,9.0,Positive
Ritz Carlton,Everything,10.0,Positive
Ritz Carlton,Staff is super friendly and hospitable,9.0,Positive
Ritz Carlton,The service of the staff was exceptional!,9.0,Positive
Ritz Carlton,"Very helpful and thoughtful service
,excellent location with good hospitality",10.0,Positive
Ritz Carlton,Excellent,9.0,Positive
Ritz Carlton,Beautiful hotel with excellent views,10.0,Positive
Ritz Carlton,"Great location and superb service from all the staff. 
The breakfast buffet was amazing.
Being able to use the pool area, spa and gym after check- out was a real bonus.",10.0,Positive
Ritz Carlton,Then options of Vegetarian Food.,9.0,Positive
Ritz Carlton,View over marina bay sands from the room was simply amazing. Club lounge great- food very good and lots of it. Staff very friendly and helpful generally. Colony restaurant is amazing,8.0,Positive
Ritz Carlton,"I was travelling with 2 elderly members and we had a late check-in (at almost midnight). The hotel staffs proactively communicated in advance regarding our special needs. Foods were provided as requested even tho they were not available on the hotel menu. Wheelchair was provided during the check-in as requested.
And, we also got free upgrade to the Suite room :)",10.0,Positive
Ritz Carlton,"Very trendy, clean and classy hotel with very welcoming and helpful staff specially ANNA from guest relations",8.0,Positive
Ritz Carlton,Staff was so friendly,10.0,Positive
Ritz Carlton,"The ambience, the decor. The size of the room n Cleanliness. All of the hotel staff was welcoming and friendly. The in room dining was so good, too.",10.0,Positive
Ritz Carlton,"Luxurious, clean, fantastic staff and excellent location.",10.0,Positive
Ritz Carlton,"Friendly staff, very clean and well appointed eeom",10.0,Positive
Ritz Carlton,"…everything was so amazing. We had club lounge access and it was absolutely worth it. Wonderful food and lovely drinks. It even improved since I was there before Covid. I remember lively Peter who treated us so nicely - but it’s so unfair because everybody was so sweet and made us feel at home. 
what I liked is that it was very quiet and decent in the club lodge and no kids running around and screaming. Also not overcrowded or annoying guests￼ - that makes a stay really memorable
Thank you!..￼",10.0,Positive
Ritz Carlton,Staff is super friendly and hospitable,9.0,Positive
Ritz Carlton,The service of the staff was exceptional!,9.0,Positive
Ritz Carlton,"Very helpful and thoughtful service
,excellent location with good hospitality",10.0,Positive
Ritz Carlton,Excellent,9.0,Positive
Ritz Carlton,Beautiful hotel with excellent views,10.0,Positive
Ritz Carlton,"Great location and superb service from all the staff. 
The breakfast buffet was amazing.
Being able to use the pool area, spa and gym after check- out was a real bonus.",10.0,Positive
